EF ID,IPCC 1996 Source/Sink Category,IPCC 2006 Source/Sink Category,Gas,Fuel 1996,Fuel 2006,C pool,Type of parameter,Description,Technologies / Practices,Parameters / Conditions,Region / Regional Conditions,Abatement / Control Technologies,Other properties,Value,Unit,Equation,IPCC Worksheet,Technical Reference,Source of data,Data provider
62747,6B2 - Domestic and Commercial Wastewater,4.D.1 - Domestic Wastewaster Treatment and Discharge,METHANE,,,,1996 IPCC default,"(Biochemical Oxygen Demand) BOD5, daily per capita value",,,"Region: Asia, Middle East, Latin America",,,0.04,kg/cap/day,Equation 5.6 on Page 5.16 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,Not applicable,"""IPCC (1994), IPCC Guidelines for National Greenhouse Gas Inventories, 3 Volumes: Volume 1, Reporting Instructions; Volume 2, Workbook; Volume 3, Draft Reference Manual.""",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-5 on Page 6.23 of the Reference Manual),IPCC
62750,6B2 - Domestic and Commercial Wastewater,4.D.1 - Domestic Wastewaster Treatment and Discharge,METHANE,,,,1996 IPCC default,"(Biochemical Oxygen Demand) BOD5, annual per capita value",,,"Region: Asia, Middle East, Latin America",,,14600,kg/1000 persons/yr,Equation 8 on Page 6.19 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories: Reference Manual,"Worksheet 6-2, Sheet 1 of 4","""IPCC (1994), IPCC Guidelines for National Greenhouse Gas Inventories, 3 Volumes: Volume 1, Reporting Instructions; Volume 2, Workbook; Volume 3, Draft Reference Manual.""",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-5 on Page 6.23 of the Reference Manual),IPCC
62783,6B1 - Industrial Wastewater,4.D.2 - Industrial Wastewater Treatment and Discharge,METHANE,,,,1996 IPCC default,Chemical Oxygen Demand (COD) Value,,Industry type: Food - Oils,"Region: Asia, Country: Malaysia",,,25,kg COD/m3 wastewater,Equation 8 on Page 6.19 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories: Reference Manual,"Worksheet 6-3, Sheet 1 of 4","Doorn and Eklund (1995), Greenhouse Gases from Wastewater Treatment: Collection and Review of Country-Specific Data and Preliminary Emission Models.  Prepared for US EPA Office of Research and Development",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-6 on Page 6.24 of the Reference Manual),IPCC
62808,6B2 - Domestic and Commercial Wastewater,4.D.1 - Domestic Wastewaster Treatment and Discharge,METHANE,,,,1996 IPCC default,Fraction of Wastewater Treated,,,Region: Asia,,,5,%,Equation 5.8 on Page 5.18 of IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories;   Equation 10 on Page 6.21 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories: Reference Manual,"Worksheet 6-2, Sheet 2 of 4","Doorn and Eklund (1995), Greenhouse Gases from Wastewater Treatment: Collection and Review of Country-Specific Data and Preliminary Emission Models.  Prepared for US EPA Office of Research and Development",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-7 on Page 6.25 of the Reference Manual),IPCC
62812,6B2 - Domestic and Commercial Wastewater,4.D.1 - Domestic Wastewaster Treatment and Discharge,METHANE,,,,1996 IPCC default,"Methane Conversion Factor (MCF), percentage of anaerobic treatment",,,Region: Asia,,,75,%,Equation 5.8 on Page 5.18 of IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories;   Equation 10 on Page 6.21 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories: Reference Manual,"Worksheet 6-2, Sheet 2 of 4","Doorn and Eklund (1995), Greenhouse Gases from Wastewater Treatment: Collection and Review of Country-Specific Data and Preliminary Emission Models.  Prepared for US EPA Office of Research and Development",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-7 on Page 6.25 of the Reference Manual),IPCC
62824,6B1 - Industrial Wastewater,4.D.2 - Industrial Wastewater Treatment and Discharge,METHANE,,,,1996 IPCC default,Fraction of Wastewater Treated,,Industry type: All,Region: Asia,,,20,%,Equation 5.8 on Page 5.18 of IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories;   Equation 10 on Page 6.21 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories: Reference Manual,"Worksheet 6-3, Sheet 2 of 4","Doorn and Eklund (1995), Greenhouse Gases from Wastewater Treatment: Collection and Review of Country-Specific Data and Preliminary Emission Models.  Prepared for US EPA Office of Research and Development",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-8 on Page 6.26 of the Reference Manual),IPCC
62830,6B1 - Industrial Wastewater,4.D.2 - Industrial Wastewater Treatment and Discharge,METHANE,,,,1996 IPCC default,"Methane Conversion Factor (MCF), percentage of anaerobic treatment",,Industry type: All,Region: Asia,,,90,%,Equation 5.8 on Page 5.18 of IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories;   Equation 10 on Page 6.21 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories: Reference Manual,"Worksheet 6-3, Sheet 2 of 4","Doorn and Eklund (1995), Greenhouse Gases from Wastewater Treatment: Collection and Review of Country-Specific Data and Preliminary Emission Models.  Prepared for US EPA Office of Research and Development",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-8 on Page 6.26 of the Reference Manual),IPCC
43114,4A1a - Dairy,3.A.1.a.i - Dairy Cows,METHANE,,,,1996 IPCC default,Enteric Fermentation Emission Factors for Cattle,Small commercialised dairy sector.,"Average milk production of 1,650 kg/head/yr",Region: Asia,,,56,kg/head/yr,Equation 4.12 on Page 4.25 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Worksheet 4-1, Sheet 1 of 2","Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-4 on Page 4.11 of the Reference Manual),IPCC
43115,4A1b - Non-Dairy,3.A.1.a.ii - Other Cattle,METHANE,,,,1996 IPCC default,Enteric Fermentation Emission Factors for Cattle,"Most cattle are multi-purpose, providing power and some milk within farming regions. Small grazing population. Cattle of all types are smaller than those found in most other regions.","Includes multi-purpose cows, bulls, and young",Region: Asia,,,44,kg/head/yr,Equation 4.12 on Page 4.25 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Worksheet 4-1, Sheet 1 of 2","Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-4 on Page 4.11 of the Reference Manual),IPCC
43231,4B1a - Dairy,3.A.2.a.i - Dairy cows,METHANE,,,,1996 IPCC default,Manure Management Emission Factor,About half of cattle manure is used for fuel with the remainder managed in dry systems.,Annual Average temperature is less than 15 C,Climate: Cool; Region: Asia,,,7,kg/head/yr,Equation 4.15 on Page 4.30 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Worksheet 4-1, Sheet 1 of 2","Crutzen, P.J., I. Aselmann and W. Seiler (1986), ""Methane Production by Domestic Animals, Wild Ruminants, Other Herbivorous Fauna, and Humans,""  Tellus 38B:271-284 

Gibbs, M.J. and D.E. Johnson (1993), ""Livestock Emissions.""  In: International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A 

Safley, L.M., M.E. Casada, J.W. Woodbury, and K.F. Roos (1992), Global Methane Emissions from Livestock and Poultry Manure. US Environmental Protection Agency, Global Change Division, Washington, D.C., February 1992, EPA/400/1091/048.  

Woodbury, J.W. and A. Hashimoto (1993), ""Methane Emissions from Livestock Manure.""  In International Methane Emissions, US Environmental Protection Agency, Climate Change Division, Washington, D.C., U.S.A.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-6 on Page 4.13 of the Reference Manual),IPCC
