EF ID,IPCC 1996 Source/Sink Category,IPCC 2006 Source/Sink Category,Gas,Fuel 1996,Fuel 2006,C pool,Type of parameter,Description,Technologies / Practices,Parameters / Conditions,Region / Regional Conditions,Abatement / Control Technologies,Other properties,Value,Unit,Equation,IPCC Worksheet,Technical Reference,Source of data,Data provider
23012,2C3 - Aluminium Production,2.C.3 - Aluminium production,CF4,,,,1996 IPCC default,Estimated Global CF4 Emissions form Smelters with Various Cell Technologies,Cell technology: Modern Prebaked,,Global average,,,0.05,kg CF4 /tonne Al,"Page 2.35 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Reference Manual), See Section 2.13.6.2.","Worksheet 2-11, Sheet 8 of 11","Tabereaux, A. T. (1995), 5th Australian Aluminium Smelter Technology Workshop, Sydney, October 1995.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 2-20 on Page 2.36 of the Reference Manual),IPCC
23013,2C3 - Aluminium Production,2.C.3 - Aluminium production,CF4,,,,1996 IPCC default,Estimated Global CF4 Emissions form Smelters with Various Cell Technologies,Cell technology: HS S?derberg (HSS),,Global average,,,1,kg CF4 /tonne Al,"Page 2.35 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Reference Manual), See Section 2.13.6.2.","Worksheet 2-11, Sheet 8 of 11","Tabereaux, A. T. (1995), 5th Australian Aluminium Smelter Technology Workshop, Sydney, October 1995.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 2-20 on Page 2.36 of the Reference Manual),IPCC
23014,2C3 - Aluminium Production,2.C.3 - Aluminium production,CF4,,,,1996 IPCC default,Estimated Global CF4 Emissions form Smelters with Various Cell Technologies,,,Global average,,,1.75,kg CF4 /tonne Al,"Page 2.35 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Reference Manual), See Section 2.13.6.2.","Worksheet 2-11, Sheet 8 of 11","Tabereaux, A. T. (1995), 5th Australian Aluminium Smelter Technology Workshop, Sydney, October 1995.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 2-20 on Page 2.36 of the Reference Manual),IPCC
23015,2C3 - Aluminium Production,2.C.3 - Aluminium production,CF4,,,,1996 IPCC default,Estimated Global CF4 Emissions form Smelters with Various Cell Technologies,Cell technology: VS S?derberg (VSS),,Global average,,,2,kg CF4 /tonne Al,"Page 2.35 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Reference Manual), See Section 2.13.6.2.","Worksheet 2-11, Sheet 8 of 11","Tabereaux, A. T. (1995), 5th Australian Aluminium Smelter Technology Workshop, Sydney, October 1995.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 2-20 on Page 2.36 of the Reference Manual),IPCC
23016,2C3 - Aluminium Production,2.C.3 - Aluminium production,CF4,,,,1996 IPCC default,Estimated Global CF4 Emission Factor for Smelters with Various Cell Technologies,Weighted average for all plants world-wide (1995),,Global average,,,1.4,kg CF4 /tonne Al,"Page 2.35 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Reference Manual), See Section 2.13.6.2.","Worksheet 2-11, Sheet 8 of 11, Vol.2 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories","Tabereaux, A. T. (1995), 5th Australian Aluminium Smelter Technology Workshop, Sydney, October 1995.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 2-20 on Page 2.36 of the Reference Manual),IPCC
23081,2F6 - Other (please specify),2.F.6 - Other Applications (please specify),Sulphur Hexafluoride,,,,1996 IPCC default,Default Emission Factor for SF6 Emissions from Electrical Equipment,"Type of Application/Equipment: Electorical Equipment,       Phase (lifecycle stage): Installation",,Global,,Before 1996,0.15,Fraction of SF6/year,Equation 3.17 on Page 3.57 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,Not applicable,"Olivier, J.G.J. and J. Bakker  (2000), Historical emissions of HFCs, PFCs and SF6 1950-1995. Consumption and emission estimates per country 1950-1995 and global emissions on 1ox1o in EDGAR 3.0. RIVM, Bilthoven, Netherlands.",IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (Table 3.12 on Page 3.58),IPCC
23083,2F6 - Other (please specify),2.F.6 - Other Applications (please specify),Sulphur Hexafluoride,,,,1996 IPCC default,Default Emission Factor for SF6 Emissions from Electrical Equipment,"Type of Application/Equipment: Electorical Equipment,       Phase (lifecycle stage): Installation",,Global,,Since 1996,0.15,Fraction of SF6/year,Equation 3.17 on Page 3.57 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,Not applicable,"Olivier, J.G.J. and J. Bakker  (2000), Historical emissions of HFCs, PFCs and SF6 1950-1995. Consumption and emission estimates per country 1950-1995 and global emissions on 1ox1o in EDGAR 3.0. RIVM, Bilthoven, Netherlands.",IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (Table 3.12 on Page 3.58),IPCC
23085,2F6 - Other (please specify),2.F.6 - Other Applications (please specify),Sulphur Hexafluoride,,,,1996 IPCC default,Default Emission Factor for SF6 Emissions from Electrical Equipment,"Type of Application/Equipment: Electorical Equipment,       Phase (lifecycle stage): Use",,Global,,Before 1996,0.05,Fraction of SF6/year,Equation 3.17 on Page 3.57 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,Not applicable,"Olivier, J.G.J. and J. Bakker  (2000), Historical emissions of HFCs, PFCs and SF6 1950-1995. Consumption and emission estimates per country 1950-1995 and global emissions on 1ox1o in EDGAR 3.0. RIVM, Bilthoven, Netherlands.",IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (Table 3.12 on Page 3.58),IPCC
23087,2F6 - Other (please specify),2.F.6 - Other Applications (please specify),Sulphur Hexafluoride,,,,1996 IPCC default,Default Emission Factor for SF6 Emissions from Electrical Equipment,"Type of Application/Equipment: Electorical Equipment,       Phase (lifecycle stage): Use",,Global,,Since 1996,0.02,Fraction of SF6/year,Equation 3.17 on Page 3.57 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,Not applicable,"Olivier, J.G.J. and J. Bakker  (2000), Historical emissions of HFCs, PFCs and SF6 1950-1995. Consumption and emission estimates per country 1950-1995 and global emissions on 1ox1o in EDGAR 3.0. RIVM, Bilthoven, Netherlands.",IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (Table 3.12 on Page 3.58),IPCC
210199,2C3 - Aluminium Production,2.C.3 - Aluminium production,C2F6,,,,1996 IPCC default,Estimated Global C2F6 Emission Factor for Smelters with Various Cell Technologies,Weighted average for all plants world-wide (1995),,Global average,,,0.2,kg C2F6/tonne Al,"Page 2.35 of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Reference Manual), See Section 2.13.6.2.",Not applicable,"Tabereaux, A. T. (1995), 5th Australian Aluminium Smelter Technology Workshop, Sydney, October 1995.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Page 2.35 of the Reference Manual),IPCC
210201,2F6 - Other (please specify),2.F.6 - Other Applications (please specify),Sulphur Hexafluoride,,,,1996 IPCC default,Default Emission Factor for SF6 Emissions from Electrical Equipment,"Type of Application/Equipment: Electorical Equipment,       Phase (lifecycle stage): Retired",,Global,,Lifetime is assumed to be 30 years,0.95,Fraction of SF6/year,Equation 3.17 on Page 3.57 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,Not applicable,"Olivier, J.G.J. and J. Bakker  (2000), Historical emissions of HFCs, PFCs and SF6 1950-1995. Consumption and emission estimates per country 1950-1995 and global emissions on 1ox1o in EDGAR 3.0. RIVM, Bilthoven, Netherlands.",IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (Table 3.12 on Page 3.58),IPCC
213622,2E1 - By-product Emissions,2.B.9.a - By-product emissions,HFC-23,,,,Measured,,"Any HCFC-22 plant that employs liquid-phase, antimony pentachchloride-catalysed reaction technology with a reflux column mounted above the reactor.","Revision of operating procedures for the reactor and reflux column to reflect the optimum conditions aimed at reducing the production of HFC-23. Operators were notified of these changes and trained... (Continued in ""Comments from data provider"" below.)",Global,Cost effective process optimization technology to reduce HFC-23 by-product formation without side-effects (e.g. HCFC-21 carry-over to downstream processes or increased reactor corrosion).,Measurement was made at DuPont's Louisville Works optimized Freon 22 Plant. Results of optimization may vary at other HCFC-22 producing sites.,0.0137,tonnes HFC-23/tonnes HCFC-22 manufactured,Page 3.125 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (Tier 1); Page 2.42 of Reference Manual of the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories,"Worksheet 2-14, Sheet 1 of 2",,Other,"DuPont Fluoroproducts, United States of America"
