EF ID,IPCC 1996 Source/Sink Category,IPCC 2006 Source/Sink Category,Gas,Fuel 1996,Fuel 2006,C pool,Type of parameter,Description,Technologies / Practices,Parameters / Conditions,Region / Regional Conditions,Abatement / Control Technologies,Other properties,Value,Unit,Equation,IPCC Worksheet,Technical Reference,Source of data,Data provider
62662,6A - Solid Waste Disposal on Land,4.A - Solid Waste Disposal,METHANE,,,,1996 IPCC default,Municipal Solid Waste (MSW) Generation Rate,,,India,,,0.33,kg/cap/day,Equation 5.1 on Page 5.6 and Equation 5.3 on Page 5.7 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,Worksheet 6-1A (SUPPLEMENTAL),"A.D. Bhide, NEERI, India, 1995. (Personal Communication)",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-1 on Pages 6.6 - 6.7 of the Reference Manual),IPCC
62686,6A - Solid Waste Disposal on Land,4.A - Solid Waste Disposal,METHANE,,,,1996 IPCC default,Fraction of Municipal Solid Waste (MSW) disposed to Solid Waste Disposal Sites (SWDS),,,India,,,0.6,fraction,Equation 5.1 on Page 5.6 and Equation 5.3 on Page 5.7 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,Worksheet 6-1A (SUPPLEMENTAL),"A.D. Bhide, NEERI, India, 1995. (Personal Communication)",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-1 on Pages 6.6 - 6.7 of the Reference Manual),IPCC
62696,6A - Solid Waste Disposal on Land,4.A - Solid Waste Disposal,METHANE,,,,1996 IPCC default,Fraction of Degradable Organic Carbon (DOC) of Municipal Solid Waste (MSW),,,India,,,0.18,fraction,Equation 5.1 on Page 5.6 and Equation 5.3 on Page 5.7 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Worksheet 6-1, Sheet 1 of 1","A.D. Bhide, NEERI, India, 1995. (Personal Communication)",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-1 on Pages 6.6 - 6.7 of the Reference Manual),IPCC
62729,6A - Solid Waste Disposal on Land,4.A - Solid Waste Disposal,METHANE,,,,1996 IPCC default,Municipal Solid Waste (MSW) disposal rate,,,India,,,0.2,kg/cap/day,See Page 6.5 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories: Reference Manual,Worksheet 6-1B (SUPPLEMENTAL),"A.D. Bhide, NEERI, India, 1995. (Personal Communication)",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 6-1 on Pages 6.6 - 6.7 of the Reference Manual),IPCC
43333,4C - Rice Cultivation,3.C.7 - Rice cultivations,METHANE,,,,1996 IPCC default,Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,Experimental Treatment: Not available,,"Country: India(Allahabad, Uttar Pradesh)",,,0.5,g/m2,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Worksheet 4-2, Sheet 1 of 1","Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
43334,4C - Rice Cultivation,3.C.7 - Rice cultivations,METHANE,,,,1996 IPCC default,Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,Experimental Treatment: Not available,,"Country: India(Barrackpore, West Benegal)",,,"1.8, 6.3",g/m2,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Worksheet 4-2, Sheet 1 of 1","Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
43335,4C - Rice Cultivation,3.C.7 - Rice cultivations,METHANE,,,,1996 IPCC default,Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,Experimental Treatment: Cultivars,,"Country: India(Cuttack, Orissa)",Use of cultivar as methane abatement strategy,,7-19,g/m2,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Worksheet 4-2, Sheet 1 of 1","Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
43336,4C - Rice Cultivation,3.C.7 - Rice cultivations,METHANE,,,,1996 IPCC default,Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,Experimental Treatment: Not available,,"Country: India(Faizabad, Uttar Pradesh)",,,2,g/m2,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Worksheet 4-2, Sheet 1 of 1","Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
43337,4C - Rice Cultivation,3.C.7 - Rice cultivations,METHANE,,,,1996 IPCC default,Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,Experimental Treatment: Not available,,"Country: India(Garagacha, West Benegal)",,,29,g/m2,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Worksheet 4-2, Sheet 1 of 1","Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
43338,4C - Rice Cultivation,3.C.7 - Rice cultivations,METHANE,,,,1996 IPCC default,Representative Methane Emissions from Rice Paddy Fields in Various Locations of the World,Experimental Treatment: Not available,,"Country: India(Jorhat, Assam)",,,46,g/m2,Equation 4.41 on Page 4.77 of the IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories,"Worksheet 4-2, Sheet 1 of 1","Mitra, A.P. (1992), Greenhouse gas emission in India, 1991 methane campaign Council of Scientific and Industrial Research, and Ministry of Environment and Forest. Scientific Report No. 20. NPL, India.",Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories (Table 4-9 on Page 4.57 of the Reference Manual),IPCC
