constant_id,constant_type,country,efdb_id,factor_set_version,fuel_item,notes,property_name,property_value,source_name,source_reference,source_url,unit,year_end,year_start
NCV_IN_CRUDE_OIL_TJ_PER_KT_EFDB14252,NCV (energy content),IN,14252,v0.1.0,crude_oil,Promoted from EFDB_india. Enables kt↔TJ conversion for crude oil.,NCV_TJ_per_kt,42.79,IPCC EFDB,EFDB 14252 — 1990 Country-Specific NCV (OECD/IEA 1993),https://www.notion.so/33aa774a4a908182b1adc4fcbf940bbb,TJ/kt,1990,1990
NCV_IN_HARD_COAL_EXPORT_TJ_PER_KT_EFDB14256,NCV (energy content),IN,14256,v0.1.0,hard_coal_other_bituminous,Promoted from EFDB_india. Other properties=Exports; keep as separate constant_id.,NCV_TJ_per_kt,19.98,IPCC EFDB,EFDB 14256 — 1990 Country-Specific NCV (Exports) (OECD/IEA 1993),https://www.notion.so/33aa774a4a90817fa13afc728f1b6015,TJ/kt,1990,1990
NCV_IN_HARD_COAL_IMPORT_TJ_PER_KT_EFDB14255,NCV (energy content),IN,14255,v0.1.0,hard_coal_other_bituminous,Promoted from EFDB_india. Other properties=Imports; keep as separate constant_id.,NCV_TJ_per_kt,25.75,IPCC EFDB,EFDB 14255 — 1990 Country-Specific NCV (Imports) (OECD/IEA 1993),https://www.notion.so/33aa774a4a9081d5bf05c43a31250394,TJ/kt,1990,1990
NCV_IN_NGL_TJ_PER_KT_EFDB14253,NCV (energy content),IN,14253,v0.1.0,natural_gas_liquids,Promoted from EFDB_india. Enables kt↔TJ conversion for NGL.,NCV_TJ_per_kt,43,IPCC EFDB,EFDB 14253 — 1990 Country-Specific NCV (OECD/IEA 1993),https://www.notion.so/33aa774a4a9081d8bf72e42c21b4744c,TJ/kt,1990,1990
NCV_IN_HARD_COAL_PROD_TJ_PER_KT_EFDB14254,NCV (energy content),IN,14254,v0.1.0,hard_coal_other_bituminous,Promoted from EFDB_india. Other properties=Production; keep as separate constant_id.,NCV_TJ_per_kt,19.98,IPCC EFDB,EFDB 14254 — 1990 Country-Specific NCV (Production) (OECD/IEA 1993),https://www.notion.so/33aa774a4a9081edb9e9eb8b8d7fa753,TJ/kt,1990,1990
NCV_IN_LIGNITE_PROD_TJ_PER_KT_EFDB14257,NCV (energy content),IN,14257,v0.1.0,lignite,Promoted from EFDB_india. Other properties=Production.,NCV_TJ_per_kt,9.8,IPCC EFDB,EFDB 14257 — 1990 Country-Specific NCV (Production) (OECD/IEA 1993),https://www.notion.so/33aa774a4a908145842ec723a561a4dc,TJ/kt,1990,1990
NCV_IN_PATENT_FUEL_TJ_PER_KT_EFDB14260,NCV (energy content),IN,14260,v0.1.0,patent_fuel,Promoted from EFDB_india.,NCV_TJ_per_kt,20.1,IPCC EFDB,EFDB 14260 — 1990 Country-Specific NCV (OECD/IEA 1993),https://www.notion.so/33aa774a4a9081aa9099e0dbb444a5e0,TJ/kt,1990,1990
NCV_IN_COKING_COAL_TJ_PER_KT_EFDB122999,NCV (energy content),IN,122999,v0.1.0,coking_coal,Measured NCV from EFDB_india; prefer over 1990 default when matching coking coal.,NCV_TJ_per_kt,24.18,IPCC EFDB,EFDB 122999 — NCV of coking coal (National Communications),https://www.notion.so/33aa774a4a908168b6a5cd0b5bcded83,TJ/kt,,
NCV_IN_NON_COKING_COAL_TJ_PER_KT_EFDB123000,NCV (energy content),IN,123000,v0.1.0,non_coking_coal,Measured NCV from EFDB_india.,NCV_TJ_per_kt,19.63,IPCC EFDB,EFDB 123000 — NCV of non-coking coal (National Communications),https://www.notion.so/33aa774a4a908113b767fd29bc9e614a,TJ/kt,,
NCV_IN_LIGNITE_TJ_PER_KT_EFDB123001,NCV (energy content),IN,123001,v0.1.0,lignite,Measured NCV from EFDB_india; prefer over 1990 default when matching lignite.,NCV_TJ_per_kt,9.69,IPCC EFDB,EFDB 123001 — NCV of lignite (National Communications),https://www.notion.so/33aa774a4a908125a98df5eb0cca2ad2,TJ/kt,,
