factor_id,scope,module,country,fuel_item,technology_process,gas,factor_value,unit_numerator,unit_denominator,preferred_rank,source_name,source_reference,notes
DEFRA24_S3_BT_FLIGHT_DOM_ECON_CO2E,S3,mobile_combustion,GB,jet_fuel,flight_domestic_economy,CO2e,0.25489,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Domestic flights economy class including RFI=1.891
DEFRA24_S3_BT_FLIGHT_SHORT_ECON_CO2E,S3,mobile_combustion,GB,jet_fuel,flight_short_haul_economy,CO2e,0.15353,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Short haul <3700km economy class RFI=1.891
DEFRA24_S3_BT_FLIGHT_SHORT_BUS_CO2E,S3,mobile_combustion,GB,jet_fuel,flight_short_haul_business,CO2e,0.23029,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Short haul business class
DEFRA24_S3_BT_FLIGHT_LONG_ECON_CO2E,S3,mobile_combustion,GB,jet_fuel,flight_long_haul_economy,CO2e,0.19493,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Long haul economy class RFI=1.891
DEFRA24_S3_BT_FLIGHT_LONG_PREMECO_CO2E,S3,mobile_combustion,GB,jet_fuel,flight_long_haul_premium_economy,CO2e,0.28609,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Long haul premium economy RFI=1.891
DEFRA24_S3_BT_FLIGHT_LONG_BUS_CO2E,S3,mobile_combustion,GB,jet_fuel,flight_long_haul_business,CO2e,0.42872,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Long haul business class
DEFRA24_S3_BT_FLIGHT_LONG_FIRST_CO2E,S3,mobile_combustion,GB,jet_fuel,flight_long_haul_first,CO2e,0.59461,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Long haul first class
DEFRA24_S3_COM_CAR_AVG_CO2E,S3,mobile_combustion,GB,motor_gasoline,car_average,CO2e,0.16844,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Average car all fuels
DEFRA24_S3_COM_CAR_PETROL_CO2E,S3,mobile_combustion,GB,motor_gasoline,car_petrol,CO2e,0.17036,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Petrol car
DEFRA24_S3_COM_CAR_DIESEL_CO2E,S3,mobile_combustion,GB,diesel_oil,car_diesel,CO2e,0.16293,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Diesel car
DEFRA24_S3_COM_CAR_EV_CO2E,S3,mobile_combustion,GB,electric,electric_car,CO2e,0.05282,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Battery EV UK grid
DEFRA24_S3_COM_RAIL_NATIONAL_CO2E,S3,mobile_combustion,GB,electric,rail,CO2e,0.03549,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,National rail UK average
DEFRA24_S3_COM_RAIL_INT_CO2E,S3,mobile_combustion,GB,electric,rail_international,CO2e,0.00415,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,International rail Eurostar etc
DEFRA24_S3_COM_BUS_LOCAL_CO2E,S3,mobile_combustion,GB,diesel_oil,bus,CO2e,0.09881,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Local bus UK average
DEFRA24_S3_COM_TAXI_CO2E,S3,mobile_combustion,GB,motor_gasoline,taxi,CO2e,0.14876,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Taxi/cab UK average
DEFRA24_S3_COM_MOTORCYCLE_CO2E,S3,mobile_combustion,GB,motor_gasoline,motorcycle,CO2e,0.11361,kgCO2e,passenger-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Motorcycle average
DEFRA24_S3_BT_HOTEL_UK_CO2E,S3,other,GB,,hotel_uk,CO2e,18.6,kgCO2e,night,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Hotel UK average per night
DEFRA24_S3_BT_HOTEL_EUROPE_CO2E,S3,other,GB,,hotel_europe,CO2e,17.5,kgCO2e,night,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Hotel Europe average per night
DEFRA24_S3_BT_HOTEL_NORTH_AM_CO2E,S3,other,GB,,hotel_north_america,CO2e,22.0,kgCO2e,night,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Hotel North America average per night
DEFRA24_S3_BT_HOTEL_ASIA_CO2E,S3,other,GB,,hotel_asia,CO2e,23.0,kgCO2e,night,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Hotel Asia average per night
DEFRA24_S3_BT_HOTEL_GLOBAL_CO2E,S3,other,GLOBAL,,hotel,CO2e,20.2,kgCO2e,night,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Hotel global average per night
DEFRA24_S4_FRT_TRUCK_AVG_CO2E,S3,mobile_combustion,GB,diesel_oil,truck,CO2e,0.06218,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,HGV average all sizes UK
DEFRA24_S4_FRT_TRUCK_RIGID_CO2E,S3,mobile_combustion,GB,diesel_oil,truck_rigid,CO2e,0.07550,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Rigid HGV UK
DEFRA24_S4_FRT_TRUCK_ARTIC_CO2E,S3,mobile_combustion,GB,diesel_oil,truck_articulated,CO2e,0.05240,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Articulated HGV UK
DEFRA24_S4_FRT_VAN_CO2E,S3,mobile_combustion,GB,diesel_oil,van,CO2e,0.17613,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Van average UK
DEFRA24_S4_FRT_RAIL_CO2E,S3,mobile_combustion,GB,electric,rail_freight,CO2e,0.02772,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Freight rail UK
DEFRA24_S4_FRT_SEA_CONTAINER_CO2E,S3,mobile_combustion,GLOBAL,fuel_oil,container_ship,CO2e,0.01234,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Container ship global average
DEFRA24_S4_FRT_SEA_BULK_CO2E,S3,mobile_combustion,GLOBAL,fuel_oil,bulk_carrier,CO2e,0.00710,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Bulk carrier global
DEFRA24_S4_FRT_SEA_TANKER_CO2E,S3,mobile_combustion,GLOBAL,fuel_oil,tanker,CO2e,0.01017,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Tanker global
DEFRA24_S4_FRT_AIR_DOM_CO2E,S3,mobile_combustion,GB,jet_fuel,airfreight_domestic,CO2e,1.37320,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Air freight domestic
DEFRA24_S4_FRT_AIR_SHORT_CO2E,S3,mobile_combustion,GB,jet_fuel,airfreight_short_haul,CO2e,2.25620,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Air freight short haul
DEFRA24_S4_FRT_AIR_LONG_CO2E,S3,mobile_combustion,GLOBAL,jet_fuel,air,CO2e,0.60238,kgCO2e,tonne-km,60,DEFRA 2024,UK Government GHG Conversion Factors 2024,Air freight long haul global
INDIA24_S7_AUTO_CNG_CO2E,S3,mobile_combustion,IN,cng,auto_rickshaw_cng,CO2e,0.060,kgCO2e,passenger-km,55,MoRTH India 2023,Ministry of Road Transport and Highways GHG Inventory 2023,CNG auto-rickshaw India average. 3 passengers. IPCC Tier 2 method applied to CNG fleet data.
INDIA24_S7_AUTO_PETROL_CO2E,S3,mobile_combustion,IN,motor_gasoline,auto_rickshaw_petrol,CO2e,0.090,kgCO2e,passenger-km,55,CPCB India 2023,Central Pollution Control Board India 3-wheeler emission inventory,Petrol auto-rickshaw. 2 passengers average. CPCB fleet emission factor.
INDIA24_S7_METRO_MUMBAI_CO2E,S3,mobile_combustion,IN,electric,metro_mumbai,CO2e,0.012,kgCO2e,passenger-km,55,MMRC ESG 2023,Mumbai Metro Rail Corporation ESG Report 2023,Mumbai Metro Lines 1/2A/7. CEA grid EF applied to per-passenger energy consumption.
INDIA24_S7_METRO_DELHI_CO2E,S3,mobile_combustion,IN,electric,metro_delhi,CO2e,0.008,kgCO2e,passenger-km,55,DMRC GHG 2022,Delhi Metro Rail Corporation GHG Inventory 2022,DMRC all lines. India green building certification. Lower EF due to solar + RECs.
INDIA24_S7_METRO_BANGALORE_CO2E,S3,mobile_combustion,IN,electric,metro_bangalore,CO2e,0.015,kgCO2e,passenger-km,55,BMRCL 2023,Bangalore Metro Rail Corporation Sustainability Report 2023,BMRCL Namma Metro Lines 1/2. Grid-powered.
INDIA24_S7_METRO_HYDERABAD_CO2E,S3,mobile_combustion,IN,electric,metro_hyderabad,CO2e,0.014,kgCO2e,passenger-km,55,HMRL 2022,Hyderabad Metro Rail Limited Annual Report 2022,HMRL L-Metro. Grid-powered with partial renewable procurement.
