BEA Detail,Year,Country,Import Quantity,Unit,Source,BEA Summary,Region,cntry_cntrb_to_national_detail,cntry_cntrb_to_region_detail,cntry_cntrb_to_national_summary,cntry_cntrb_to_region_summary
1111A0,2019,Greenland,0.0,USD,Census,111CA,EU,0.0,0.0,0.0,0.0
1111B0,2019,Greenland,0.0,USD,Census,111CA,EU,0.0,0.0,0.0,0.0
111200,2019,Greenland,0.0,USD,Census,111CA,EU,0.0,0.0,0.0,0.0
111300,2019,Greenland,0.0,USD,Census,111CA,EU,0.0,0.0,0.0,0.0
111400,2019,Greenland,0.0,USD,Census,111CA,EU,0.0,0.0,0.0,0.0
111900,2019,Greenland,0.0,USD,Census,111CA,EU,0.0,0.0,0.0,0.0
112120,2019,Greenland,0.0,USD,Census,111CA,EU,0.0,0.0,0.0,0.0
1121A0,2019,Greenland,0.0,USD,Census,111CA,EU,0.0,0.0,0.0,0.0
112300,2019,Greenland,0.0,USD,Census,111CA,EU,0.0,0.0,0.0,0.0
112A00,2019,Greenland,1773.0,USD,Census,111CA,EU,3.438077110596591e-07,1.0454049573567701e-06,3.5443939550665436e-08,5.564147510106001e-07
113000,2019,Greenland,0.0,USD,Census,113FF,EU,0.0,0.0,0.0,0.0
114000,2019,Greenland,24569525.0,USD,Census,113FF,EU,0.0014678308925455846,0.013515265013267613,0.001252392924277553,0.011479382693638494
211000,2019,Greenland,0.0,USD,Census,211,EU,0.0,0.0,0.0,0.0
212100,2019,Greenland,0.0,USD,Census,212,EU,0.0,0.0,0.0,0.0
212230,2019,Greenland,0.0,USD,Census,212,EU,0.0,0.0,0.0,0.0
2122A0,2019,Greenland,0.0,USD,Census,212,EU,0.0,0.0,0.0,0.0
212310,2019,Greenland,0.0,USD,Census,212,EU,0.0,0.0,0.0,0.0
2123A0,2019,Greenland,0.0,USD,Census,212,EU,0.0,0.0,0.0,0.0
311111,2019,Greenland,0.0,USD,Census,311FT,EU,0.0,0.0,0.0,0.0
311119,2019,Greenland,0.0,USD,Census,311FT,EU,0.0,0.0,0.0,0.0
311210,2019,Greenland,0.0,USD,Census,311FT,EU,0.0,0.0,0.0,0.0
311221,2019,Greenland,0.0,USD,Census,311FT,EU,0.0,0.0,0.0,0.0
311224,2019,Greenland,0.0,USD,Census,311FT,EU,0.0,0.0,0.0,0.0
311225,2019,Greenland,0.0,USD,Census,311FT,EU,0.0,0.0,0.0,0.0
311230,2019,Greenland,0.0,USD,Census,311FT,EU,0.0,0.0,0.0,0.0
311300,2019,Greenland,0.0,USD,Census,311FT,EU,0.0,0.0,0.0,0.0
