factor_id,country,efdb_id,factor_set_version,factor_value,fuel_item,gas,ipcc_table_ref,module,notes,preferred_rank,scope,source_name,source_reference,source_url,technology_process,unit_denominator,unit_numerator,year_end,year_start
S2_IN_ELEC_CO2E_0,IN,,v0.1.0,0.716,grid_electricity,CO2e,,purchased_electricity,Default India grid EF for Phase 1; verify source and year,1,S2,CEA (placeholder),Placeholder baseline factor (from prior JSON); replace with sourced CEA publication + year,,,kWh,kgCO2e,,2022
S1_GLOBAL_DIESEL_L_CO2_0,GLOBAL,,v0.1.0,2.68,diesel,CO2,,stationary_combustion,For deterministic pipeline wiring only; not authoritative,10,S1,Placeholder,"Placeholder diesel combustion CO2 per litre; replace with sourced factor (e.g., IPCC/DEFRA/EPA)",,,litre,kgCO2,,
S1_GLOBAL_DIESEL_L_CH4_0,GLOBAL,,v0.1.0,0.0001,diesel,CH4,,stationary_combustion,Stub value for wiring; update with real factors,10,S1,Placeholder,Placeholder CH4 per litre; replace with sourced gas-specific factor,,,litre,kgCH4,,
S1_GLOBAL_DIESEL_L_N2O_0,GLOBAL,,v0.1.0,0.00002,diesel,N2O,,stationary_combustion,Stub value for wiring; update with real factors,10,S1,Placeholder,Placeholder N2O per litre; replace with sourced gas-specific factor,,,litre,kgN2O,,
S1_IN_COAL_SUBBIT_CO2_TCO2_PER_TJ_EFDB122989,IN,122989,v0.1.0,95.81,sub_bituminous_coal,CO2,1.A - Fuel Combustion Activities,stationary_combustion,Promoted from EFDB_india (calculator-ready tCO2/TJ).,2,S1,IPCC EFDB,EFDB 122989 — EF of CO2 from Non-coking coal (Choudhary et al. 2004; National Communications),https://www.notion.so/33aa774a4a9081c1bcf8d5762c10dd55,,TJ,tCO2,,
S1_IN_MOB_GASOLINE_2W3W_CO2_TCO2_PER_TJ_EFDB123002,IN,123002,v0.1.0,43.9,motor_gasoline,CO2,1.A.3 - Transport,mobile_combustion,Promoted from EFDB_india (calculator-ready tCO2/TJ).,1,S1,IPCC EFDB,EFDB 123002 — CO2 emission coefficients of gasoline (2W/3W),https://www.notion.so/33aa774a4a9081b28a45f51f9d014c4f,2W/3W,TJ,tCO2,,
S1_IN_COAL_COKING_CO2_TCO2_PER_TJ_EFDB122988,IN,122988,v0.1.0,93.61,coking_coal,CO2,1.A - Fuel Combustion Activities,stationary_combustion,Promoted from EFDB_india (calculator-ready tCO2/TJ).,1,S1,IPCC EFDB,EFDB 122988 — EF of CO2 from Coking Coal (Choudhary et al. 2004; National Communications),https://www.notion.so/33aa774a4a9081d596f1ef8e6300435c,,TJ,tCO2,,
S1_IN_MOB_GASOLINE_CAR_TAXI_CO2_TCO2_PER_TJ_EFDB123003,IN,123003,v0.1.0,61.5,motor_gasoline,CO2,1.A.3 - Transport,mobile_combustion,Promoted from EFDB_india (calculator-ready tCO2/TJ).,2,S1,IPCC EFDB,EFDB 123003 — CO2 emission coefficients of gasoline (Car/Taxi),https://www.notion.so/33aa774a4a9081d3b95fea4aaad8a1f2,car_taxi,TJ,tCO2,,
S1_IN_COAL_LIGNITE_CO2_TCO2_PER_TJ_EFDB122990,IN,122990,v0.1.0,106.51,lignite,CO2,1.A - Fuel Combustion Activities,stationary_combustion,Promoted from EFDB_india (calculator-ready tCO2/TJ).,3,S1,IPCC EFDB,EFDB 122990 — EF of CO2 from Lignite (Choudhary et al. 2004; National Communications),https://www.notion.so/33aa774a4a908124a807e0e5d7581c6c,,TJ,tCO2,,
S1_IN_MOB_DIESEL_MCV_HCV_CO2_TCO2_PER_TJ_EFDB123004,IN,123004,v0.1.0,71.4,diesel_oil,CO2,1.A.3 - Transport,mobile_combustion,Promoted from EFDB_india (calculator-ready tCO2/TJ).,1,S1,IPCC EFDB,EFDB 123004 — CO2 emission coefficients of diesel oil (MCV/HCV),https://www.notion.so/33aa774a4a9081eb8471ef0af8dd6d0b,MCV/HCV,TJ,tCO2,,
S1_IN_MOB_DIESEL_LCV_CO2_TCO2_PER_TJ_EFDB123005,IN,123005,v0.1.0,71.4,diesel_oil,CO2,1.A.3 - Transport,mobile_combustion,Promoted from EFDB_india (calculator-ready tCO2/TJ).,2,S1,IPCC EFDB,EFDB 123005 — CO2 emission coefficients of diesel oil (LCV),https://www.notion.so/33aa774a4a90812ebe0bcae8dc1af7d1,LCV,TJ,tCO2,,
S1_GLOBAL_STATIONARY_DIESEL_CO2_KG_PER_TJ_IPCC2019,GLOBAL,53620,v0.1.0,74100,diesel_oil,CO2,2006 Vol.2 Table 2.2; reaffirmed in 2019 Refinement (no refinement),stationary_combustion,GLOBAL default; 2019 preferred over 2006 by rank.,900,S1,IPCC 2019 Refinement (default),"2019 Refinement Vol.2 Ch.2 (no refinement to defaults for stationary combustion); values consistent with IPCC 2006 default tables (e.g., CO2 EF diesel oil 74,100 kg/TJ).",https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_2_Ch02_Stationary_Combustion.pdf,,TJ,kgCO2,,
S1_GLOBAL_STATIONARY_DIESEL_CO2_KG_PER_TJ_IPCC2006,GLOBAL,53620,v0.1.0,74100,diesel_oil,CO2,Table 2.2,stationary_combustion,Superseded by IPCC 2019 Refinement default where applicable.,950,S1,IPCC 2006 Guidelines (default),IPCC 2006 Vol.2 Stationary Combustion default CO2 emission factor for diesel oil.,https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_2_Ch2_Stationary_Combustion.pdf,,TJ,kgCO2,,
