factor_id,scope,module,country,geography_level,fuel_item,technology_process,gas,factor_value,unit_numerator,unit_denominator,source_name,preferred_rank,notes
GLEC3_ROAD_HDV_ART_DIESEL_50LF,S3,freight_transport,GLOBAL,global,diesel_oil,road_hdv_articulated_diesel_50pct_lf,CO2e,0.082,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"HDV articulated >26t GVW diesel 50% load factor. WTT+TTW. ISO 14083:2023."
GLEC3_ROAD_HDV_ART_DIESEL_80LF,S3,freight_transport,GLOBAL,global,diesel_oil,road_hdv_articulated_diesel_80pct_lf,CO2e,0.059,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"HDV articulated >26t GVW diesel 80% load factor. WTT+TTW. ISO 14083:2023."
GLEC3_ROAD_HDV_RIG_DIESEL_50LF,S3,freight_transport,GLOBAL,global,diesel_oil,road_hdv_rigid_diesel_50pct_lf,CO2e,0.134,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"HDV rigid 7.5-26t GVW diesel 50% load factor. WTT+TTW. ISO 14083:2023."
GLEC3_ROAD_HDV_ART_DIESEL_100LF,S3,freight_transport,GLOBAL,global,diesel_oil,road_hdv_articulated_diesel_full_load,CO2e,0.051,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"HDV articulated >26t GVW diesel 100% load factor. WTT+TTW. ISO 14083:2023."
GLEC3_ROAD_LCV_DIESEL,S3,freight_transport,GLOBAL,global,diesel_oil,road_lcv_diesel,CO2e,0.350,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"LCV <3.5t GVW diesel. WTT+TTW. ISO 14083:2023."
GLEC3_ROAD_LCV_ELECTRIC_EU,S3,freight_transport,EU,regional,electric,road_lcv_electric_eu_grid,CO2e,0.042,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"LCV electric EU average grid 2022. WTT+TTW. ISO 14083:2023."
GLEC3_ROAD_HDV_ART_ELECTRIC_EU,S3,freight_transport,EU,regional,electric,road_hdv_articulated_electric_eu_grid,CO2e,0.020,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"HDV articulated electric EU average grid 2022. WTT+TTW. ISO 14083:2023."
GLEC3_ROAD_HDV_ART_CNG,S3,freight_transport,GLOBAL,global,cng,road_hdv_articulated_cng,CO2e,0.075,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"HDV articulated CNG 50% load factor. WTT+TTW. ISO 14083:2023."
GLEC3_ROAD_HDV_ART_LNG,S3,freight_transport,GLOBAL,global,lng,road_hdv_articulated_lng,CO2e,0.072,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"HDV articulated LNG 50% load factor. WTT+TTW. ISO 14083:2023."
GLEC3_ROAD_HDV_INDIA_DIESEL,S3,freight_transport,IN,national,diesel_oil,road_hdv_india_diesel,CO2e,0.095,kgCO2e,tonne-km,GLEC Framework v3 2023 + MoRTH India,45,"India HGV diesel average load factor 60%. Adjusted from GLEC global. ISO 14083:2023."
GLEC3_RAIL_DIESEL_GLOBAL,S3,freight_transport,GLOBAL,global,diesel_oil,rail_freight_diesel,CO2e,0.028,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Rail freight diesel traction. WTT+TTW. ISO 14083:2023."
GLEC3_RAIL_ELECTRIC_EU,S3,freight_transport,EU,regional,electric,rail_freight_electric_eu_grid,CO2e,0.020,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"Rail freight electric EU average grid 2022. WTT+TTW. ISO 14083:2023."
GLEC3_RAIL_ELECTRIC_IN,S3,freight_transport,IN,national,electric,rail_freight_electric_india,CO2e,0.060,kgCO2e,tonne-km,GLEC Framework v3 2023 + CEA India,45,"India Railways electric traction. CEA grid EF 0.727 kgCO2e/kWh. ISO 14083:2023."
GLEC3_RAIL_ELECTRIC_CN,S3,freight_transport,CN,national,electric,rail_freight_electric_china,CO2e,0.054,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"China rail freight electric. National grid mix 2022. ISO 14083:2023."
GLEC3_RAIL_ELECTRIC_US,S3,freight_transport,US,national,electric,rail_freight_electric_us,CO2e,0.022,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"US rail freight electric. National grid mix 2022. ISO 14083:2023."
GLEC3_SEA_CONTAINER_LG_VLSFO,S3,freight_transport,GLOBAL,global,vlsfo,sea_container_large_vlsfo,CO2e,0.006,kgCO2e,tonne-km,GLEC Framework v3 2023,45,">8000 TEU container ship VLSFO (Very Low Sulphur Fuel Oil). WTT+TTW. ISO 14083:2023."
GLEC3_SEA_CONTAINER_MED_VLSFO,S3,freight_transport,GLOBAL,global,vlsfo,sea_container_medium_vlsfo,CO2e,0.012,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"4000-8000 TEU container ship VLSFO. WTT+TTW. ISO 14083:2023."
GLEC3_SEA_CONTAINER_SM_VLSFO,S3,freight_transport,GLOBAL,global,vlsfo,sea_container_small_vlsfo,CO2e,0.020,kgCO2e,tonne-km,GLEC Framework v3 2023,45,"<4000 TEU container ship VLSFO. WTT+TTW. ISO 14083:2023."
GLEC3_SEA_CONTAINER_LG_MGO,S3,freight_transport,GLOBAL,global,mgo,sea_container_large_mgo,CO2e,0.007,kgCO2e,tonne-km,GLEC Framework v3 2023,45,">8000 TEU container ship MGO (Marine Gas Oil). WTT+TTW. ISO 14083:2023."
GLEC3_SEA_CONTAINER_LG_LNG,S3,freight_transport,GLOBAL,global,lng,sea_container_large_lng,CO2e,0.005,kgCO2e,tonne-km,GLEC Framework v3 2023,45,">8000 TEU container ship LNG-fuelled. WTT+TTW. ISO 14083:2023."
