factor_id,scope,module,country,geography_level,fuel_item,technology_process,gas,factor_value,unit_numerator,unit_denominator,source_name,preferred_rank,notes
IPCC06_IPPU_CEMENT_CO2,S1,ippu_process,GLOBAL,global,cement_clinker,cement_clinker_production,CO2,524,kgCO2,tonne clinker produced,IPCC 2006 Vol.3 Ch.2 Table 2.1,20,Default EF for clinker production (carbonation of CaCO3). Range 470-570 kgCO2/t
IPCC06_IPPU_LIME_CO2,S1,ippu_process,GLOBAL,global,lime,lime_production,CO2,785,kgCO2,tonne lime produced,IPCC 2006 Vol.3 Ch.2 Table 2.4,20,Quicklime default EF. Hydrated lime ~1130 kgCO2/t. IPCC 2006 Vol.3 Ch.2
IPCC06_IPPU_GLASS_CO2,S1,ippu_process,GLOBAL,global,glass,glass_production,CO2,200,kgCO2,tonne glass produced,IPCC 2006 Vol.3 Ch.2,20,Container and flat glass average. IPCC 2006 Vol.3 Ch.2 Table 2.6
IPCC06_IPPU_STEEL_BOF_CO2,S1,ippu_process,GLOBAL,global,steel_bof,steel_bof_production,CO2,200,kgCO2,tonne steel produced,IPCC 2006 Vol.3 Ch.4 Table 4.1,20,Basic oxygen furnace (BOF/BF) — process CO2 only. Does not include energy combustion.
IPCC06_IPPU_STEEL_EAF_CO2,S1,ippu_process,GLOBAL,global,steel_eaf,steel_eaf_production,CO2,60,kgCO2,tonne steel produced,IPCC 2006 Vol.3 Ch.4 Table 4.1,20,Electric arc furnace (EAF) — process CO2 only. Lower carbon intensity than BOF.
IPCC06_IPPU_IRON_SINTER_CO2,S1,ippu_process,GLOBAL,global,iron_sinter,sinter_production,CO2,195,kgCO2,tonne sinter produced,IPCC 2006 Vol.3 Ch.4,20,Iron sintering process. IPCC 2006 Vol.3 Ch.4
IPCC06_IPPU_COKE_CO2,S1,ippu_process,GLOBAL,global,metallurgical_coke,coke_production,CO2,560,kgCO2,tonne coke produced,IPCC 2006 Vol.3 Ch.4,20,Metallurgical coke production from coal. IPCC 2006 Vol.3 Ch.4
IPCC06_IPPU_AMMONIA_CO2,S1,ippu_process,GLOBAL,global,ammonia,ammonia_production,CO2,1694,kgCO2,tonne ammonia produced,IPCC 2006 Vol.3 Ch.3 Table 3.1,20,Ammonia synthesis from natural gas (Haber-Bosch). Process CO2 only. IPCC 2006 Vol.3 Ch.3
IPCC06_IPPU_NITRIC_N2O_LOW,S1,ippu_process,GLOBAL,global,nitric_acid,nitric_acid_production_low,N2O,2.84,kgN2O,tonne nitric acid produced,IPCC 2006 Vol.3 Ch.3 Table 3.3,20,Nitric acid — low-pressure process. Range 1-9 kgN2O/t
IPCC06_IPPU_NITRIC_N2O_MED,S1,ippu_process,GLOBAL,global,nitric_acid,nitric_acid_production_medium,N2O,5.0,kgN2O,tonne nitric acid produced,IPCC 2006 Vol.3 Ch.3 Table 3.3,20,Nitric acid — medium-pressure process. IPCC 2006 Vol.3 Ch.3
IPCC06_IPPU_NITRIC_N2O_HIGH,S1,ippu_process,GLOBAL,global,nitric_acid,nitric_acid_production_high,N2O,7.0,kgN2O,tonne nitric acid produced,IPCC 2006 Vol.3 Ch.3 Table 3.3,20,Nitric acid — high-pressure process. IPCC 2006 Vol.3 Ch.3
IPCC06_IPPU_ADIPIC_N2O,S1,ippu_process,GLOBAL,global,adipic_acid,adipic_acid_production,N2O,300,kgN2O,tonne adipic acid produced,IPCC 2006 Vol.3 Ch.3 Table 3.5,20,Adipic acid N2O without abatement. Key nylon precursor. IPCC 2006 Vol.3 Ch.3
IPCC06_IPPU_CARBIDE_CO2,S1,ippu_process,GLOBAL,global,silicon_carbide,carbide_production,CO2,1170,kgCO2,tonne SiC produced,IPCC 2006 Vol.3 Ch.3,20,Silicon carbide production. IPCC 2006 Vol.3 Ch.3
