factor_id,scope,module,country,geography_level,fuel_item,technology_process,gas,factor_value,unit_numerator,unit_denominator,source_name,preferred_rank,notes
IPCC06_STAT_JET_FUEL_CO2,S1,stationary_combustion,GLOBAL,global,jet_fuel,,CO2,71500,kgCO2,TJ,IPCC 2006 Table 2.2,20,Jet kerosene. IPCC 2006 Guidelines Vol.2 Ch.2 Table 2.2
IPCC06_STAT_JET_FUEL_CH4,S1,stationary_combustion,GLOBAL,global,jet_fuel,,CH4,3,kgCH4,TJ,IPCC 2006 Table 2.2,20,Jet kerosene CH4 EF. IPCC 2006 Vol.2 Table 2.2
IPCC06_STAT_JET_FUEL_N2O,S1,stationary_combustion,GLOBAL,global,jet_fuel,,N2O,0.6,kgN2O,TJ,IPCC 2006 Table 2.2,20,Jet kerosene N2O EF. IPCC 2006 Vol.2 Table 2.2
IPCC06_STAT_AVIATION_GAS_CO2,S1,stationary_combustion,GLOBAL,global,aviation_gasoline,,CO2,70000,kgCO2,TJ,IPCC 2006 Table 2.2,20,Aviation gasoline (avgas). IPCC 2006 Vol.2 Ch.2 Table 2.2
IPCC06_STAT_AVIATION_GAS_CH4,S1,stationary_combustion,GLOBAL,global,aviation_gasoline,,CH4,3,kgCH4,TJ,IPCC 2006 Table 2.2,20,Aviation gasoline CH4 EF
IPCC06_STAT_AVIATION_GAS_N2O,S1,stationary_combustion,GLOBAL,global,aviation_gasoline,,N2O,0.6,kgN2O,TJ,IPCC 2006 Table 2.2,20,Aviation gasoline N2O EF
IPCC06_STAT_CHARCOAL_CO2,S1,stationary_combustion,GLOBAL,global,charcoal,,CO2,112000,kgCO2,TJ,IPCC 2006 Table 2.2,20,Charcoal CO2 EF. IPCC 2006 Vol.2 Ch.2 Table 2.2
IPCC06_STAT_CHARCOAL_CH4,S1,stationary_combustion,GLOBAL,global,charcoal,,CH4,200,kgCH4,TJ,IPCC 2006 Table 2.2,20,Charcoal CH4 EF (high — incomplete combustion)
IPCC06_STAT_CHARCOAL_N2O,S1,stationary_combustion,GLOBAL,global,charcoal,,N2O,4,kgN2O,TJ,IPCC 2006 Table 2.2,20,Charcoal N2O EF
IPCC06_STAT_ETHANOL_CO2,S1,stationary_combustion,GLOBAL,global,ethanol,,CO2,70800,kgCO2,TJ,IPCC 2006 Table 2.2,20,Biogenic CO2 — per GHG Protocol reported separately. IPCC 2006 Vol.2 Ch.2 Table 2.2
IPCC06_STAT_ETHANOL_CH4,S1,stationary_combustion,GLOBAL,global,ethanol,,CH4,3,kgCH4,TJ,IPCC 2006 Table 2.2,20,Ethanol CH4 EF
