unlocode,name,country,lat,lon,type
INBOM,Mumbai (JNPT),IN,18.9500,72.8333,sea
INPAV,Pipavav,IN,20.9000,71.5167,sea
INMUN,Mundra,IN,22.7500,69.7167,sea
INKAK,Kandla,IN,23.0100,70.2200,sea
INMAA,Chennai,IN,13.0878,80.2785,sea
INTUT,Tuticorin,IN,8.7642,78.1348,sea
INCCU,Kolkata,IN,22.5726,88.3639,sea
INVTZ,Visakhapatnam,IN,17.6868,83.2185,sea
INKOC,Kochi,IN,9.9312,76.2673,sea
INMOR,Mormugao (Goa),IN,15.4167,73.8000,sea
INIXC,New Delhi ICD,IN,28.6139,77.2090,inland
INPNQ,Pune ICD,IN,18.5204,73.8567,inland
INAMD,Ahmedabad ICD,IN,23.0225,72.5714,inland
INBLR,Bangalore ICD,IN,12.9716,77.5946,inland
INHYD,Hyderabad ICD,IN,17.3850,78.4867,inland
CNSHA,Shanghai,CN,31.2304,121.4737,sea
CNNGB,Ningbo-Zhoushan,CN,29.8683,121.5440,sea
CNSZX,Shenzhen,CN,22.5431,114.0579,sea
CNCAN,Guangzhou,CN,23.1291,113.2644,sea
CNTXG,Tianjin,CN,39.3434,117.3616,sea
SGSIN,Singapore,SG,1.2897,103.8501,sea
KRPUS,Busan,KR,35.1796,129.0756,sea
MYPKG,Klang,MY,3.0000,101.4000,sea
HKHKG,Hong Kong,HK,22.3193,114.1694,sea
JPYOK,Yokohama,JP,35.4437,139.6380,sea
USBAL,Los Angeles,US,33.7395,-118.2621,sea
USSEA,Seattle,US,47.6062,-122.3321,sea
USNYC,New York,US,40.6640,-74.0453,sea
USHOT,Houston,US,29.7604,-95.3698,sea
GBFXT,Felixstowe,GB,51.9546,1.3510,sea
GBSOU,Southampton,GB,50.9097,-1.4044,sea
NLRTM,Rotterdam,NL,51.9225,4.4792,sea
DEHAM,Hamburg,DE,53.5753,9.8689,sea
BEANR,Antwerp,BE,51.2993,4.4040,sea
DKAAR,Aarhus,DK,56.1629,10.2039,sea
FRLEH,Le Havre,FR,49.4944,0.1079,sea
ESALG,Algeciras,ES,36.1408,-5.4534,sea
ITGOA,Genoa,IT,44.4056,8.9463,sea
AEDXB,Dubai (Jebel Ali),AE,25.0657,55.1713,sea
SADAM,Dammam,SA,26.4367,50.1033,sea
EGPSD,Port Said,EG,31.2653,32.3019,sea
ZAELS,Durban,ZA,-29.8587,31.0218,sea
BRLEC,Santos,BR,-23.9333,-46.3333,sea
AUMEL,Melbourne,AU,-37.8136,144.9631,sea
AUSYD,Sydney,AU,-33.8688,151.2093,sea
JOKAQ,Aqaba,JO,29.5269,35.0106,sea
USCHI,Chicago O'Hare,US,41.9742,-87.9073,air
GBLON,London Heathrow,GB,51.4775,-0.4614,air
DEfra,Frankfurt,DE,50.0379,8.5622,air
USDFW,Dallas Fort Worth,US,32.8998,-97.0403,air
AEDXB_AIR,Dubai International,AE,25.2532,55.3657,air
INBOM_AIR,Mumbai (CSIA),IN,19.0896,72.8656,air
INDEL_AIR,Delhi (IGI),IN,28.5665,77.1031,air
INBLR_AIR,Bangalore (KIA),IN,13.1986,77.7066,air
INMAA_AIR,Chennai (MAA),IN,12.9941,80.1709,air
INHYD_AIR,Hyderabad (RGIA),IN,17.2403,78.4294,air
INCCU_AIR,Kolkata (NSCBI),IN,22.6547,88.4467,air
