Metric ID,Sector,Industry,Metric Name,Metric Description,Quantitative / Qualitative,Unit,Topic,Topic Description,Primitive Bindings,Outcome Node Bindings,Binding Notes
CG-AA-250a.1,Consumer Goods,"Accessories & Footwear, Apparel",Discussion of processes to maintain compliance with restricted substances regulations,Discussion of processes to maintain compliance with restricted substances regulations,Discussion and Analysis,,Management of Chemicals in Products,"The Building Products & Furnishings industry?s products can contain substances that may harm human health, including volatile organic compounds (VOCs) and potential reproductive toxins, carcinogens and endocrine disruptors. In general, products contain these substances at low concentrations, if at all, and therefore are not expected to pose a health concern. Nonetheless, entities may be exposed to potentially significant regulatory and reputational risk associated with the use of substances of concern. Actual or perceived human health risks create the potential for future regulation of product chemical content and possible reputational consequences for entities, which can significantly affect demand for products. The industry has engaged in voluntary efforts to eliminate such potentially harmful chemicals from products and use alternative materials. The adoption of building certification standards, such as the Leadership in Energy and Environmental Design (LEED) building rating system, has stimulated demand for products with reduced harmful chemical content. Entities that effectively manage harmful chemicals in their products may cultivate a long-term competitive advantage by increasing demand, reducing regulatory risk and improving brand value.","CL, RG",R:BrandEquity,Restricted substance compliance process depth signals product safety regulatory posture and brand trust in apparel
CG-AA-250a.2,Consumer Goods,"Accessories & Footwear, Apparel",Discussion of processes to assess and manage risks or hazards associated with chemicals in products,Discussion of processes to assess and manage risks or hazards associated with chemicals in products,Discussion and Analysis,,Management of Chemicals in Products,"The Building Products & Furnishings industry?s products can contain substances that may harm human health, including volatile organic compounds (VOCs) and potential reproductive toxins, carcinogens and endocrine disruptors. In general, products contain these substances at low concentrations, if at all, and therefore are not expected to pose a health concern. Nonetheless, entities may be exposed to potentially significant regulatory and reputational risk associated with the use of substances of concern. Actual or perceived human health risks create the potential for future regulation of product chemical content and possible reputational consequences for entities, which can significantly affect demand for products. The industry has engaged in voluntary efforts to eliminate such potentially harmful chemicals from products and use alternative materials. The adoption of building certification standards, such as the Leadership in Energy and Environmental Design (LEED) building rating system, has stimulated demand for products with reduced harmful chemical content. Entities that effectively manage harmful chemicals in their products may cultivate a long-term competitive advantage by increasing demand, reducing regulatory risk and improving brand value.","CL, RG",R:BrandEquity,Chemical hazard assessment and management rigour signals product risk mitigation and brand protection in apparel
CG-AA-430a.1,Consumer Goods,"Accessories & Footwear, Apparel",Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 in compliance with wastewater discharge permits or contractual agreements 1,Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 in compliance with wastewater discharge permits or contractual agreements 1 ? The entity shall discuss its supply chain risks associated with discharge of water from supplier facilities and describe how it manages these risks.,Quantitative,Percentage (%),Environmental Impacts in the Supply Chain,"The Apparel, Accessories & Footwear industry?s global supply chain contributes significantly to adverse environmental externalities through water consumption and various forms of pollution. Water pollution results from the discharge of chemicals during water-intensive dyeing and tanning processes. Air pollution stems from the industry?s energy use and some manufacturing processes. These impacts have the potential to damage an entity?s reputation and to affect cost structures over time. The scale of this issue has been intensified historically by the industry relying on manufacturing partners in emerging markets with limited environmental regulations and oversight. However, enhanced stakeholder and consumer scrutiny, coupled with increasingly stringent regulation in some regions, has encouraged entities throughout the industry to work with suppliers to reduce their environmental impact. Apparel, Accessories & Footwear entities that leverage their market power to influence suppliers to improve operational efficiencies and resource consumption and limit pollution can mitigate the costs associated with increased resource scarcity and regulation. Further, those that engage with suppliers through monitoring, auditing and strict standards may better preserve shareholder value over the long term.","CL, WA",E:ESGRating,Supplier wastewater compliance rate signals chemical discharge risk exposure and ESG rating impact in apparel supply chain
CG-AA-430a.2,Consumer Goods,"Accessories & Footwear, Apparel","Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have completed the Sustainable Apparel Coalition?s Higg Facility Environmental Module (Higg FEM)
assessment or an equivalent environmental data assessment","Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have completed the Sustainable Apparel Coalition?s Higg Facility Environmental Module (Higg FEM)
assessment or an equivalent environmental data assessment",Quantitative,Percentage (%),Environmental Impacts in the Supply Chain,"The Apparel, Accessories & Footwear industry?s global supply chain contributes significantly to adverse environmental externalities through water consumption and various forms of pollution. Water pollution results from the discharge of chemicals during water-intensive dyeing and tanning processes. Air pollution stems from the industry?s energy use and some manufacturing processes. These impacts have the potential to damage an entity?s reputation and to affect cost structures over time. The scale of this issue has been intensified historically by the industry relying on manufacturing partners in emerging markets with limited environmental regulations and oversight. However, enhanced stakeholder and consumer scrutiny, coupled with increasingly stringent regulation in some regions, has encouraged entities throughout the industry to work with suppliers to reduce their environmental impact. Apparel, Accessories & Footwear entities that leverage their market power to influence suppliers to improve operational efficiencies and resource consumption and limit pollution can mitigate the costs associated with increased resource scarcity and regulation. Further, those that engage with suppliers through monitoring, auditing and strict standards may better preserve shareholder value over the long term.","GE, WA",E:ESGRating,Higg FEM assessment coverage rate signals environmental supply chain transparency depth and ESG rating credibility
CG-AA-430b.1,Consumer Goods,"Accessories & Footwear, Apparel","Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have been audited to a labour code of conduct, (3) percentage of total audits conducted by a third-party auditor","Percentage of (1) Tier 1 supplier facilities and (2) supplier facilities beyond Tier 1 that have been audited to a labour code of conduct, (3) percentage of total audits conducted by a third-party auditor",Quantitative,Percentage (%),Labour Conditions in the Supply Chain,"Labour conditions and the treatment of workers in the industry?s manufacturing supply chain are points of concern for consumers, regulators and entities. Labour issues include worker health and safety standards, compensation, excessive working hours and risks related to discrimination and forced labour. The industry is exposed to these issues because of its reliance on third-party manufacturing where labour standards and regulation enforcement may be weak. Entities also contract with numerous suppliers, adding complexity and transparency challenges. Failure to manage labour conditions can result in supply disruptions, reputational damage and increased regulation and enforcement in response to high-profile safety or labour incidents, strikes and work stoppages, and shifts in consumer demand. Entities that engage with suppliers through audits, partnerships and increased oversight may be better able to pre-empt and react more quickly to labour issues. Entities that effectively manage this issue can protect brand value and reduce their cost of capital.","HS, WF",S:WorkerWelfare,Labour code audit coverage rate signals supply chain oversight depth and worker welfare standards in manufacturing
CG-AA-430b.2,Consumer Goods,"Accessories & Footwear, Apparel","(1) Priority non-conformance rate and
(2) associated corrective action rate for suppliers? labour code of conduct audits 2","(1) Priority non-conformance rate and
(2) associated corrective action rate for suppliers? labour code of conduct audits 2",Quantitative,Rate,Labour Conditions in the Supply Chain,"Labour conditions and the treatment of workers in the industry?s manufacturing supply chain are points of concern for consumers, regulators and entities. Labour issues include worker health and safety standards, compensation, excessive working hours and risks related to discrimination and forced labour. The industry is exposed to these issues because of its reliance on third-party manufacturing where labour standards and regulation enforcement may be weak. Entities also contract with numerous suppliers, adding complexity and transparency challenges. Failure to manage labour conditions can result in supply disruptions, reputational damage and increased regulation and enforcement in response to high-profile safety or labour incidents, strikes and work stoppages, and shifts in consumer demand. Entities that engage with suppliers through audits, partnerships and increased oversight may be better able to pre-empt and react more quickly to labour issues. Entities that effectively manage this issue can protect brand value and reduce their cost of capital.","CL, WF",R:BrandEquity,Priority non-conformance and corrective action rates signal supply chain labour risk responsiveness and brand protection
CG-AA-430b.3,Consumer Goods,"Accessories & Footwear, Apparel","Description of the greatest (1) labour and
(2) environmental, health and safety risks in the supply chain","Description of the greatest (1) labour and
(2) environmental, health and safety risks in the supply chain",Discussion and Analysis,,Labour Conditions in the Supply Chain,"Labour conditions and the treatment of workers in the industry?s manufacturing supply chain are points of concern for consumers, regulators and entities. Labour issues include worker health and safety standards, compensation, excessive working hours and risks related to discrimination and forced labour. The industry is exposed to these issues because of its reliance on third-party manufacturing where labour standards and regulation enforcement may be weak. Entities also contract with numerous suppliers, adding complexity and transparency challenges. Failure to manage labour conditions can result in supply disruptions, reputational damage and increased regulation and enforcement in response to high-profile safety or labour incidents, strikes and work stoppages, and shifts in consumer demand. Entities that engage with suppliers through audits, partnerships and increased oversight may be better able to pre-empt and react more quickly to labour issues. Entities that effectively manage this issue can protect brand value and reduce their cost of capital.","HS, SC",S:WorkerWelfare,Description of greatest labour and EHS risks in supply chain signals worker welfare management maturity
CG-AA-440a.3,Consumer Goods,"Accessories & Footwear, Apparel","(1) List of priority raw materials; for each priority raw material: (2) environmental or social factor(s) most likely to threaten sourcing, (3) discussion on business risks or opportunities associated with environmental or social factors and
(4) management strategy for addressing business risks and opportunities","(1) List of priority raw materials; for each priority raw material: (2) environmental or social factor(s) most likely to threaten sourcing, (3) discussion on business risks or opportunities associated with environmental or social factors and
(4) management strategy for addressing business risks and opportunities",Discussion and Analysis,,Raw Materials Sourcing,"The Apparel, Accessories & Footwear industry relies on many raw materials including cotton, leather, wool, rubber, and precious minerals and metals, as inputs for finished products. Sustainability impacts related to climate change, land use, resource scarcity and conflict in regions where the industry?s supply chain operates affect the industry?s ability to reliably source materials. The ability of entities to manage potential material shortages, supply disruptions, price volatility and reputational risks can be more difficult when supply chains lack transparency. Failure to effectively manage this issue can delay shipments and depress earnings, reduce margins, constrain revenue growth or increase costs of capital. The types of risk associated with sourcing different materials can require different solutions, including engaging with suppliers, enhancing transparency by using certification standards, using innovative alternative materials, or introducing circular economy practices. Entities that are proactive may reduce their exposure to price volatility and potential supply disruptions, while improving their brand reputation and developing new market opportunities.","CM, SC",R:BrandEquity,Priority raw material risk and management strategy signals supply chain resilience and brand reputation protection
CG-AA-440a.4,Consumer Goods,"Accessories & Footwear, Apparel","(1) Amount of priority raw materials purchased, by material, and (2) amount of each priority raw material that is certified to a third-party environmental or social standard, by standard","(1) Amount of priority raw materials purchased, by material, and (2) amount of each priority raw material that is certified to a third-party environmental or social standard, by standard",Quantitative,Metric tonnes (t),Raw Materials Sourcing,"The Apparel, Accessories & Footwear industry relies on many raw materials including cotton, leather, wool, rubber, and precious minerals and metals, as inputs for finished products. Sustainability impacts related to climate change, land use, resource scarcity and conflict in regions where the industry?s supply chain operates affect the industry?s ability to reliably source materials. The ability of entities to manage potential material shortages, supply disruptions, price volatility and reputational risks can be more difficult when supply chains lack transparency. Failure to effectively manage this issue can delay shipments and depress earnings, reduce margins, constrain revenue growth or increase costs of capital. The types of risk associated with sourcing different materials can require different solutions, including engaging with suppliers, enhancing transparency by using certification standards, using innovative alternative materials, or introducing circular economy practices. Entities that are proactive may reduce their exposure to price volatility and potential supply disruptions, while improving their brand reputation and developing new market opportunities.","CM, SC",E:ESGRating,Priority raw material volume and third-party certification rate signals responsible sourcing depth and ESG rating
CG-AM-250a.1,Consumer Goods,Appliance Manufacturing,(1) Number of recalls issued and (2) total units recalled 1,(1) Number of recalls issued and (2) total units recalled 1 ? The entity shall discuss notable recalls such as those that affected a significant number of units of one product or those related to serious injury or fatality.,Quantitative,Number,Product Safety,"Product safety is of utmost importance to appliance and tool manufacturers. When an appliance malfunctions, fires or other resulting hazards may damage property, cause injury or even result in death. The potential for product malfunction and consequences exposes firms to litigation and negative consumer sentiment risks, which can affect brand value, revenue growth or market share. Entities issuing product recalls face upfront costs for logistics and customer reimbursement, reputational risks and lost sales. Failure to report known product safety hazards to relevant authorities can result in civil penalties. Entities that effectively manage quality control and testing can minimise the possibility of a product malfunction or recall, capture additional market share, and limit exposure to regulatory and litigation risks.","CL, HS",R:BrandEquity,Recall count and units recalled signal appliance product safety defect rate and brand/regulatory exposure
